,Touchscreen Display,Screen Size,Processor Type,Weight,Year of Original Release,Processor Cores,Colour,Convertible/Hybrid Display,2-in-1,windows laptop,macbook,macbook_air,macbook_pro,surface,chromebook,gaming_laptop
146,Yes,17.3,10th Gen Intel Core i7-10510U,4.7,0,4,0,Yes,0,1,0,0,0,0,0,0
149,Yes,17.3,8th Generation Intel Core i7-8565U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
58,Yes,17.3,Intel Core i7-8565U,4.7,0,4,0,0,0,1,0,0,0,0,0,0
0,Yes,15.6,Intel Core i5-8265U,4.78,0,4,0,Yes,1,0,0,0,0,0,0,0
3,Yes,15.6,10th Generation Intel Core i5-10210U,4.78,0,4,0,Yes,1,0,0,0,0,0,0,0
4,Yes,15.6,Intel i5-8265U,4.78,0,4,0,Yes,1,0,0,0,0,0,0,0
5,Yes,15.6,Intel Core i7-8550U,4.78,0,4,0,Yes,1,0,0,0,0,0,0,0
6,Yes,15.6,Intel Core i7-8550U,4.7,0,4,0,Yes,0,1,0,0,0,0,0,0
7,Yes,15.6,10th Gen Intel Core i7-10510U,4.78,0,4,0,Yes,1,0,0,0,0,0,0,0
8,Yes,15.6,10th Gen Intel Core i7-10510U,4.78,0,4,0,Yes,1,0,0,0,0,0,0,0
314,Yes,15.6,Intel Core i7 7700HQ,4.7,0,0,0,Yes,0,1,0,0,0,0,0,0
818,Yes,15.6,Intel Pentium processor N4200,4.14,0,4,0,Yes,0,0,0,0,0,0,1,0
1013,Yes,15.6,Intel Core I7-8750h,0,0,0,0,Yes,0,0,0,0,0,0,0,1
36,Yes,15.6,Intel Core i5-1035G1,4.7,0,4,0,No,0,1,0,0,0,0,0,0
37,Yes,15.6,Intel Core i3-8130U,4.7,0,2,0,No,0,1,0,0,0,0,0,0
38,Yes,15.6,Intel Core i3-8130U,4.7,0,2,0,No,0,1,0,0,0,0,0,0
48,Yes,15.6,Intel Core i5-8265U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
67,Yes,15.6,Intel Core i7-8550U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
70,Yes,15.6,Intel Core i7-8550U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
77,Yes,15.6,AMD Ryzen 5 3500U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
78,Yes,15.6,AMD Ryzen 5 3500U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
109,Yes,15.6,8th Generation Intel Core i5-8265U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
114,Yes,15.6,10th Gen Intel Core i5-10210U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
158,Yes,15.6,Intel i5-8250U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
259,Yes,15.6,Intel i5-1035G1,4.7,0,4,0,No,0,1,0,0,0,0,0,0
267,Yes,15.6,Intel Core i7 8750H,4.7,0,6,0,No,0,1,0,0,0,0,0,0
316,Yes,15.6,Intel Core i5- 5300U,4.7,0,2,0,No,0,1,0,0,0,0,0,0
317,Yes,15.6,Intel Core i5- 5300U,4.7,0,2,0,No,0,1,0,0,0,0,0,0
816,Yes,15.6,PQC N4200,4.14,0,4,0,No,0,0,0,0,0,0,1,0
882,Yes,15.6,Intel Celeron N3450,0,0,0,0,No,0,0,0,0,0,0,1,0
192,Yes,15.6,Intel 8th Generation Core i5-8265U,4.7,0,4,0,0,0,1,0,0,0,0,0,0
268,Yes,15.6,Intel Core i7-9750H,4.7,0,6,0,0,0,1,0,0,0,0,0,0
382,Yes,15.6,0,4.7,0,0,0,0,0,1,0,0,0,0,0,0
760,Yes,15.6,Intel Quad-Core Pentium N4200,4.14,0,4,0,0,0,0,0,0,0,0,1,0
886,Yes,15.6,Inten Pentium N4200,0,0,4,0,0,0,0,0,0,0,0,1,0
950,Yes,15.6,Intel Core i7-9750H,0,0,6,0,0,0,0,0,0,0,0,0,1
951,Yes,15.6,Intel Core i7-9750H,0,0,6,0,0,0,0,0,0,0,0,0,1
980,Yes,15.6,Intel Core i7-8750H,0,0,6,0,0,0,0,0,0,0,0,0,1
1055,Yes,15.6,Intel Core i5 7300HQ,0,0,4,0,0,0,0,0,0,0,0,0,1
333,Yes,15,Intel Core i5-8305G CPU @ 2.80GHz,4.7,0,0,0,Yes,0,1,0,0,0,0,0,0
350,Yes,15,8th Generation Intel Core i7-8650U,4.7,0,4,0,Yes,0,1,0,0,0,0,0,0
351,Yes,15,0,4.7,0,4,0,No,0,1,0,0,0,0,0,0
352,Yes,15,AMD Ryzen 7 3780U Microsoft Surface Edition,4.7,0,4,0,No,0,1,0,0,0,0,0,0
353,Yes,15,AMD Ryzen 7 Microsoft Surface Edition,4.7,0,4,0,No,0,1,0,0,0,0,0,0
17,Yes,15,0,4.78,0,0,0,0,1,0,0,0,0,0,0,0
250,Yes,15,Intel® Core™ i5-8265U,4.7,0,4,0,0,0,1,0,0,0,0,0,0
251,Yes,15,Intel® Core™ i5-8265U,4.7,0,4,0,0,0,1,0,0,0,0,0,0
383,Yes,15,Intel Core i7-8705G CPU @ 3.10GHz,4.7,0,0,0,0,0,1,0,0,0,0,0,0
1024,Yes,15,"9th Generation Intel® Core™ i7-9750H (12MB Cache, up to 4.5 GHz, 6 cores)",0,0,0,0,0,0,0,0,0,0,0,0,1
124,Yes,14.1,Intel Core i5-6300U,4.7,0,2,0,No,0,1,0,0,0,0,0,0
2,Yes,14,Intel Core i5-8265U,4.78,0,4,0,Yes,1,0,0,0,0,0,0,0
12,Yes,14,Intel Core i5-10210U,4.78,0,4,0,Yes,1,0,0,0,0,0,0,0
13,Yes,14,Intel Core i5-10210U,4.78,0,4,0,Yes,1,0,0,0,0,0,0,0
14,Yes,14,10th Gen Intel Core i5-10210U,4.78,0,4,0,Yes,1,0,0,0,0,0,0,0
22,Yes,14,Intel Pentium Silver N5000,4.78,0,4,0,Yes,1,0,0,0,0,0,0,0
26,Yes,14,Intel Core i5-10210U,4.78,0,4,0,Yes,1,0,0,0,0,0,0,0
33,Yes,14,8th Generation Intel Core i5-8265U,4.78,0,4,0,Yes,1,0,0,0,0,0,0,0
358,Yes,14,Intel Core i7 (8th Gen),4.7,0,4,0,Yes,0,1,0,0,0,0,0,0
762,Yes,14,Intel Core m3-8100Y,4.14,0,2,0,Yes,0,0,0,0,0,0,1,0
85,Yes,14,Intel Core i5-10210U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
214,Yes,14,Intel Core i5-4300U,4.7,0,2,0,No,0,1,0,0,0,0,0,0
283,Yes,14,Intel Core i5-5300U,4.7,0,2,0,No,0,1,0,0,0,0,0,0
750,Yes,14,AMD Dual-Core A4-9120C,4.14,0,2,0,No,0,0,0,0,0,0,1,0
759,Yes,14,Intel Core i3-8130U,4.14,0,2,0,No,0,0,0,0,0,0,1,0
791,Yes,14,AMD Dual-Core A4-9120C,4.14,0,2,0,No,0,0,0,0,0,0,1,0
859,Yes,14,Intel Celeron N3060,0,0,2,0,No,0,0,0,0,0,0,1,0
865,Yes,14,Intel Celeron N3350,0,0,2,0,No,0,0,0,0,0,0,1,0
129,Yes,14,Intel Core i7 - 7600U,4.7,0,2,0,0,0,1,0,0,0,0,0,0
232,Yes,14,Intel Core i5-4300u,4.7,0,2,0,0,0,1,0,0,0,0,0,0
807,Yes,14,Intel&nbsp;Celeron N3350,4.14,0,2,0,0,0,0,0,0,0,0,1,0
863,Yes,14,Intel Celeron N3350 Dual Core,0,0,0,0,0,0,0,0,0,0,0,1,0
9,Yes,13.9,Intel Core i7-8550U,4.78,0,4,0,Yes,1,0,0,0,0,0,0,0
10,Yes,13.9,Intel Core i7-8550U,4.78,0,4,0,Yes,1,0,0,0,0,0,0,0
11,Yes,13.9,Intel Core i7-8550U,4.78,0,4,0,Yes,1,0,0,0,0,0,0,0
27,Yes,13.5,Intel Core i7-8650U Quad-Core,4.78,0,4,0,Yes,1,0,0,0,0,0,0,0
770,Yes,13.5,Intel Core i5-8250U,4.14,0,2,0,Yes,0,0,0,0,0,0,1,0
343,Yes,13.5,10th Generation Intel Core i5-1035G7&nbsp;Processor,4.7,2019,4,0,No,0,1,0,0,0,1,0,0
344,Yes,13.5,8th Gen Intel Core i5,4.7,0,4,0,No,0,1,0,0,0,0,0,0
345,Yes,13.5,10th Gen Intel Core i5-1035G7&nbsp;Processor,4.7,0,4,0,No,0,1,0,0,0,1,0,0
346,Yes,13.5,8th Generation Intel Core i5,4.7,0,4,0,No,0,1,0,0,0,1,0,0
347,Yes,13.5,7th Generation Intel Core i5-7200U,4.7,0,2,0,No,0,1,0,0,0,1,0,0
348,Yes,13.5,10th Gen Intel Core i7-1065G7&nbsp;Processor,4.7,0,4,0,No,0,1,0,0,0,1,0,0
349,Yes,13.5,8th Gen Intel Core i7,4.7,0,4,0,No,0,1,0,0,0,1,0,0
15,Yes,13.5,0,4.78,2019,0,0,0,1,0,0,0,0,0,0,0
18,Yes,13.3,Intel Core i7-7600U,4.78,0,2,0,Yes,1,0,0,0,0,0,0,0
19,Yes,13.3,10th Generation Intel Core i5-1035G4,4.78,0,4,0,Yes,1,0,0,0,0,0,0,0
20,Yes,13.3,8th Generation Intel Core i7-8565U,4.78,0,4,0,Yes,1,0,0,0,0,0,0,0
25,Yes,13.3,Intel Core i7 - 7600U,4.78,0,2,0,Yes,1,0,0,0,0,0,0,0
29,Yes,13.3,Intel Core i7-10510U,4.78,0,4,0,Yes,1,0,0,0,0,0,0,0
35,Yes,13.3,Intel Core i5 - 7200U,4.78,0,2,0,Yes,1,0,0,0,0,0,0,0
209,Yes,13.3,Intel Celeron N4000,0,0,2,0,Yes,0,1,0,0,0,0,0,0
817,Yes,13.3,MTK 8173C,4.14,0,4,0,Yes,0,0,0,0,0,0,1,0
877,Yes,13.3,MediaTek M8173C,0,0,4,0,Yes,0,0,0,0,0,0,1,0
878,Yes,13.3,MediaTek M8173C,0,0,4,0,Yes,0,0,0,0,0,0,1,0
269,Yes,13.3,Intel Core i7 8550U,4.7,0,0,0,No,0,1,0,0,0,0,0,0
321,Yes,13.3,Intel i7-5600U,4.7,0,2,0,No,0,1,0,0,0,0,0,0
874,Yes,13.3,0,0,0,4,0,No,0,0,0,0,0,0,1,0
875,Yes,13.3,0,0,0,4,0,No,0,0,0,0,0,0,1,0
135,Yes,13.3,Intel Core i5-8350U,4.7,0,4,0,0,0,1,0,0,0,0,0,0
763,Yes,13.3,8th Gen Intel Core m3,4.14,0,0,0,0,0,0,0,0,0,0,1,0
764,Yes,13.3,8th Gen Intel Core i5,4.14,0,0,0,0,0,0,0,0,0,0,1,0
795,Yes,13.3,8th Gen Intel Core i5,4.14,0,0,0,0,0,0,0,0,0,0,1,0
824,Yes,13.3,8th Gen Intel Core i7,4.14,0,0,0,0,0,0,0,0,0,0,1,0
876,Yes,13.3,MediaTek M8173C,0,0,4,0,0,0,0,0,0,0,0,1,0
879,Yes,13.3,MediaTek,0,0,4,0,0,0,0,0,0,0,0,1,0
880,Yes,13.3,MediaTek,0,0,4,0,0,0,0,0,0,0,0,1,0
881,Yes,13.3,Quad-core (4 Core),0,0,4,0,0,0,0,0,0,0,0,1,0
1047,Yes,13.3,Quad-Core 8th Gen Intel® Core™ i7-8550U Processor with Hyper Threading up to 4.0 GHz,0,0,4,0,0,0,0,0,0,0,0,0,1
1,Yes,13,Intel Core i5-8265U,4.78,0,4,0,Yes,1,0,0,0,0,0,0,0
30,Yes,13,"Intel Core i3-6006U Processor (Dual Core, 2.0GHz, 3M cache,1 5W)",4.78,0,2,0,0,1,0,0,0,0,0,0,0
356,Yes,13,Intel Core i7-8565U CPU @ 1.80GHz,4.7,0,0,0,0,0,1,0,0,0,0,0,0
34,Yes,12.5,Intel Core i7-4600U,4.78,0,2,0,Yes,1,0,0,0,0,0,0,0
155,Yes,12.5,Intel Core i7-5600U,4.7,0,2,0,Yes,0,1,0,0,0,0,0,0
826,Yes,12.3,Intel Kaby Lake-Y i7,4.14,0,7,0,Yes,0,0,0,0,0,0,1,0
16,Yes,12.2,0,4.78,0,0,0,0,1,0,0,0,0,0,0,0
332,Yes,12.1,Intel Core 2 Duo SU9300,4.7,0,2,0,0,0,1,0,0,0,0,0,0
28,Yes,11.6,Intel® Celeron® N3050,4.78,0,2,0,Yes,1,0,0,0,0,0,0,0
31,Yes,11.6,Intel Core i5 - 4200U,4.78,0,2,0,Yes,1,0,0,0,0,0,0,0
32,Yes,11.6,Intel Core i5 4200u,4.78,0,2,0,Yes,1,0,0,0,0,0,0,0
747,Yes,11.6,Intel Celeron N4100,4.14,0,4,0,Yes,0,0,0,0,0,0,1,0
749,Yes,11.6,Celeron N3060,4.14,0,0,0,Yes,0,0,0,0,0,0,1,0
803,Yes,11.6,Intel Celeron N3350,4.14,0,2,0,Yes,0,0,0,0,0,0,1,0
804,Yes,11.6,Intel Celeron N3160,4.14,0,4,0,Yes,0,0,0,0,0,0,1,0
806,Yes,11.6,Intel Celeron N3060 1.60GHz Dual Core,4.14,0,2,0,Yes,0,0,0,0,0,0,1,0
873,Yes,11.6,Intel Celeron N3350 1.1GHz,0,0,2,0,Yes,0,0,0,0,0,0,1,0
833,Yes,11.6,Intel Celeron N3350,0,0,2,0,No,0,0,0,0,0,0,1,0
858,Yes,11.6,Intel Celeron 3855U,0,0,2,0,No,0,0,0,0,0,0,1,0
860,Yes,11.6,Intel Celeron N3060,0,0,2,0,No,0,0,0,0,0,0,1,0
923,Yes,11.6,Intel Dual-Core Celeron N3350,0,0,2,0,No,0,0,0,0,0,0,1,0
748,Yes,11.6,MediaTek MT8173c,4.14,0,4,0,0,0,0,0,0,0,0,1,0
774,Yes,11.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0
805,Yes,11.6,Intel Celeron N3160,4.14,0,4,0,0,0,0,0,0,0,0,1,0
835,Yes,11.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0
862,Yes,11.6,Intel&nbsp;Celeron N3060,0,0,2,0,0,0,0,0,0,0,0,1,0
864,Yes,11.6,Intel Celeron processor,0,0,0,0,0,0,0,0,0,0,0,1,0
386,Yes,11,Celeron N3150,4.7,0,0,0,0,0,1,0,0,0,0,0,0
754,Yes,11,Intel Celeron N3350,4.14,0,0,0,0,0,0,0,0,0,0,1,0
827,Yes,10.1,OP1 (Rockchip 3399),4.14,0,0,0,Yes,0,0,0,0,0,0,1,0
895,Yes,10.1,Rockchip RK3399 Quad-Core,0,0,2,0,Yes,0,0,0,0,0,0,1,0
371,Yes,0,Intel Core i7-8550U CPU @ 1.80GHz,4.7,0,0,Silver,0,0,1,0,0,0,0,0,0
757,Yes,0,Intel Celeron N3060,4.14,0,0,Black,0,0,0,0,0,0,0,1,0
794,Yes,0,Intel Core m3-8100Y,4.14,0,2,0,Yes,0,0,0,0,0,0,1,0
897,Yes,0,Intel Celeron N4100,0,0,4,0,Yes,0,0,0,0,0,0,1,0
23,Yes,0,INTEL CORE I7-8550U CPU @ 1.80GHZ,4.78,0,0,0,No,1,0,0,0,0,0,0,0
75,Yes,0,Intel Core i7-8550U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
111,Yes,0,8th Generation Intel Core i5-8265U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
145,Yes,0,Intel Core i7 8565U,4.7,0,0,0,No,0,1,0,0,0,0,0,0
815,Yes,0,PQC N4200,4.14,0,4,0,No,0,0,0,0,0,0,1,0
832,Yes,0,AMD Dual-Core A4-9120C,0,0,2,0,No,0,0,0,0,0,0,1,0
899,Yes,0,Intel Core i3-8130U,0,0,2,0,No,0,0,0,0,0,0,1,0
21,Yes,0,Intel Core i5-8350U CPU @ 1.70GHz,4.78,0,0,0,0,1,0,0,0,0,0,0,0
76,Yes,0,Intel Core i7-8550U,4.7,0,4,0,0,0,1,0,0,0,0,0,0
137,Yes,0,Intel Core i5-8265U,4.7,0,4,0,0,0,1,0,0,0,0,0,0
151,Yes,0,Core i5,4.7,0,0,0,0,0,1,0,0,0,0,0,0
359,Yes,0,"8th Generation Intel® Core™ i7-8565U, 8 MB Cache, up to 4.60 GHz",4.7,0,0,0,0,0,1,0,0,0,0,0,0
369,Yes,0,"10th Generation Intel® Core™ i7-10510U, 8 MB Cache, 4 Core, up to 4.90 GHz",4.7,0,0,0,0,0,1,0,0,0,0,0,0
370,Yes,0,0,4.7,0,0,0,0,0,1,0,0,0,0,0,0
768,Yes,0,Pentium Gold,4.14,0,0,0,0,0,0,0,0,0,0,1,0
769,Yes,0,Core i3,4.14,0,0,0,0,0,0,0,0,0,0,1,0
775,Yes,0,Celeron,0,0,0,0,0,0,0,0,0,0,0,1,0
793,Yes,0,Intel Quad-Core Pentium N4200,4.14,0,4,0,0,0,0,0,0,0,0,1,0
836,Yes,0,Celeron,0,0,0,0,0,0,0,0,0,0,0,1,0
837,Yes,0,Celeron,0,0,0,0,0,0,0,0,0,0,0,1,0
838,Yes,0,Celeron,0,0,0,0,0,0,0,0,0,0,0,1,0
861,Yes,0,Intel Celeron N3350,0,0,2,0,0,0,0,0,0,0,0,1,0
887,Yes,0,Pentium,0,0,0,0,0,0,0,0,0,0,0,1,0
891,Yes,0,Core i5,0,0,0,0,0,0,0,0,0,0,0,1,0
894,Yes,0,Core i3,0,0,0,0,0,0,0,0,0,0,0,1,0
896,Yes,0,Intel Celeron N4000,0,0,0,0,0,0,0,0,0,0,0,1,0
926,Yes,0,Intel Celeron N2840,0,0,0,0,0,0,0,0,0,0,0,1,0
927,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
984,Yes,0,Intel Core i7-8750H,0,0,6,0,0,0,0,0,0,0,0,0,1
65,No,17.3,Intel Core i5-8250U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
73,No,17.3,Intel Core i7-8550U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
84,No,17.3,Intel Core i5-10210U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
112,No,17.3,8th Generation Intel Core i5-8265U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
115,No,17.3,10th Gen Intel Core i5-10210U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
147,No,17.3,Intel i7-8565U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
299,No,17.3,10th Generation Intel Core i5-10210U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
300,No,17.3,Intel Core i5 (8th Gen),4.7,0,4,0,No,0,1,0,0,0,0,0,0
934,No,17.3,Intel Core i5-9300H,0,0,4,0,No,0,0,0,0,0,0,0,1
952,No,17.3,Intel Core i7-9750H,0,0,6,0,No,0,0,0,0,0,0,0,1
953,No,17.3,Intel Core i7-9750H,0,0,6,0,No,0,0,0,0,0,0,0,1
954,No,17.3,Intel Core i7-9750H,0,0,6,0,No,0,0,0,0,0,0,0,1
955,No,17.3,Intel Core i7-9750H,0,0,6,0,No,0,0,0,0,0,0,0,1
956,No,17.3,Intel Core i7-9750H,0,0,6,0,No,0,0,0,0,0,0,0,1
957,No,17.3,Intel Core i7-9750H,0,0,6,0,No,0,0,0,0,0,0,0,1
969,No,17.3,9th Generation Intel Core i7-9750H,0,0,6,0,No,0,0,0,0,0,0,0,1
990,No,17.3,Intel Core i7-8750H,0,0,6,0,No,0,0,0,0,0,0,0,1
997,No,17.3,Intel i7-8750H,0,0,6,0,No,0,0,0,0,0,0,0,1
998,No,17.3,Intel i7-8750H,0,0,6,0,No,0,0,0,0,0,0,0,1
1019,No,17.3,Intel Core i7 8750H,0,0,6,0,No,0,0,0,0,0,0,0,1
1020,No,17.3,Intel Core i7 8750H,0,0,6,0,No,0,0,0,0,0,0,0,1
1051,No,17.3,Intel Xeon E-2186G,0,0,6,0,No,0,0,0,0,0,0,0,1
1054,No,17.3,Intel i7-8565U,0,0,4,0,No,0,0,0,0,0,0,0,1
958,No,17.3,Intel Core i7-9750H,0,0,6,0,0,0,0,0,0,0,0,0,1
959,No,17.3,Intel Core i7-9750H,0,0,6,0,0,0,0,0,0,0,0,0,1
989,No,17.3,Intel Core i7-8750H,0,0,6,0,0,0,0,0,0,0,0,0,1
993,No,17.3,Intel Core i7-8750H,0,0,6,0,0,0,0,0,0,0,0,0,1
1048,No,17.3,Intel 9th Generation Core i7-9750H,0,0,0,0,0,0,0,0,0,0,0,0,1
1052,No,17.3,Intel Core i7-6700HQ,0,0,4,0,0,0,0,0,0,0,0,0,1
1061,No,17.3,AMD Ryzen 7 3750H,0,0,4,0,0,0,0,0,0,0,0,0,1
1074,No,17,Intel Core i7-9750H CPU @ 2.60GHz,0,0,0,0,0,0,0,0,0,0,0,0,1
539,No,16,Intel Core i9,0,2019,8,0,No,0,0,0,0,1,0,0,0
540,No,16,Intel Core i7,0,2019,6,0,No,0,0,0,0,1,0,0,0
167,No,15.6,10th Gen Intel Core i3-1005G1,4.7,0,2,0,Yes,0,1,0,0,0,0,0,0
39,No,15.6,Intel Core i3-8130U,4.7,0,2,0,No,0,1,0,0,0,0,0,0
40,No,15.6,Intel Core i5-8265U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
41,No,15.6,Intel Core i5-8265U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
42,No,15.6,Intel Core i5-8265U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
43,No,15.6,Intel Core i5-8265U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
47,No,15.6,Intel Core i5-8265U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
50,No,15.6,Intel Core i7-8565U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
51,No,15.6,Intel Core i7-8565U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
52,No,15.6,Intel Core i7-8565U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
53,No,15.6,Intel Core i7-8565U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
55,No,15.6,Intel Core i7-8565U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
68,No,15.6,Intel Core i7-8550U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
69,No,15.6,Intel Core i7-8550U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
79,No,15.6,AMD Ryzen 5 3500U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
80,No,15.6,AMD Ryzen R7 3700U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
81,No,15.6,Intel Core i5-10210U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
82,No,15.6,Intel Core i5-10210U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
83,No,15.6,Intel Core i5-10210U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
87,No,15.6,8th Gen Intel Core i7-8565U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
89,No,15.6,Intel Core i7-10510U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
90,No,15.6,AMD Quad Core R5-3500U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
92,No,15.6,Intel Core i3-10110U,4.7,0,2,0,No,0,1,0,0,0,0,0,0
93,No,15.6,AMD Ryzen 5 2500U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
94,No,15.6,"9th Generation Intel Core i5-9300H (8MB Cache, up to 4.1 GHz, 4 cores)",4.7,0,4,0,No,0,1,0,0,0,0,0,0
95,No,15.6,AMD Ryzen R5 3500U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
96,No,15.6,AMD A12-9720P,4.7,0,4,0,No,0,1,0,0,0,0,0,0
106,No,15.6,Intel Core i5-9300H,4.7,0,4,0,No,0,1,0,0,0,0,0,0
110,No,15.6,8th Generation Intel Core i5-8265U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
148,No,15.6,Intel i7-8565U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
159,No,15.6,7th Generation AMD A6-9225 Processor,4.7,0,2,0,No,0,1,0,0,0,0,0,0
160,No,15.6,AMD A6-9225,4.7,0,2,0,No,0,1,0,0,0,0,0,0
161,No,15.6,AMD A6-9225,4.7,0,2,0,No,0,1,0,0,0,0,0,0
163,No,15.6,AMD Dual Core R3-3200U,4.7,0,2,0,No,0,1,0,0,0,0,0,0
164,No,15.6,AMD Dual Core R3-3200U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
165,No,15.6,AMD Dual Core A6-9225,4.7,0,2,0,No,0,1,0,0,0,0,0,0
166,No,15.6,10th Gen Intel Core i3-1005G1,4.7,0,2,0,No,0,1,0,0,0,0,0,0
168,No,15.6,10th Gen Intel Core i5-1035G1,4.7,0,4,0,No,0,1,0,0,0,0,0,0
169,No,15.6,10th Gen Intel Core i5-1035G1,0,0,4,0,No,0,1,0,0,0,0,0,0
170,No,15.6,10th Generation Intel Core i5-1035G1,4.7,0,4,0,No,0,1,0,0,0,0,0,0
171,No,15.6,AMD A6-9220e,4.7,0,2,0,No,0,1,0,0,0,0,0,0
173,No,15.6,8th Gen Intel Core i5-8265U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
174,No,15.6,10th Generation Intel Core i7-1065G7,4.7,0,4,0,No,0,1,0,0,0,0,0,0
175,No,15.6,10th Gen Intel Core i7-1065G7,4.7,0,4,0,No,0,1,0,0,0,0,0,0
176,No,15.6,Intel Core i3-8145U,4.7,0,2,0,No,0,1,0,0,0,0,0,0
177,No,15.6,Intel Core i3-8145U,4.7,0,2,0,No,0,1,0,0,0,0,0,0
178,No,15.6,Intel Core i3-8145U,4.7,0,2,0,No,0,1,0,0,0,0,0,0
179,No,15.6,AMD A4-9125 Dual-Core,4.7,0,2,0,No,0,1,0,0,0,0,0,0
180,No,15.6,AMD A9-9420e,4.7,0,2,0,No,0,1,0,0,0,0,0,0
181,No,15.6,AMD A9-9420e,4.7,0,2,0,No,0,1,0,0,0,0,0,0
183,No,15.6,AMD Quad Core A12-9720P,4.7,0,4,0,No,0,1,0,0,0,0,0,0
184,No,15.6,AMD Quad Core A12-9720P,4.7,0,4,0,No,0,1,0,0,0,0,0,0
185,No,15.6,8th Generation Intel Core i3-8145U,4.7,0,2,0,No,0,1,0,0,0,0,0,0
186,No,15.6,AMD A4-9120E,4.7,0,2,0,No,0,1,0,0,0,0,0,0
188,No,15.6,Pentium 5405U,4.7,0,2,0,No,0,1,0,0,0,0,0,0
189,No,15.6,AMD E2-9000,4.7,0,2,0,No,0,1,0,0,0,0,0,0
194,No,15.6,AMD Ryzen 3 2200U,4.7,0,2,0,No,0,1,0,0,0,0,0,0
236,No,15.6,AMD A4-9125,4.7,0,2,0,No,0,1,0,0,0,0,0,0
257,No,15.6,Intel Celeron N3450,0,0,0,0,No,0,1,0,0,0,0,0,0
271,No,15.6,AMD Ryzen 5 2500U Processor,4.7,0,4,0,No,0,1,0,0,0,0,0,0
272,No,15.6,AMD Quad Core A10-9620P,4.7,0,4,0,No,0,1,0,0,0,0,0,0
273,No,15.6,Intel Core i5 (3rd Gen) 3230M / 2.6 GHz Dual-Core,4.7,0,2,0,No,0,1,0,0,0,0,0,0
309,No,15.6,AMD A9-9420,4.7,0,2,0,No,0,1,0,0,0,0,0,0
310,No,15.6,Intel Core i7-1065G7,4.7,0,4,0,No,0,1,0,0,0,0,0,0
311,No,15.6,Intel Pentium Gold 5405U,4.7,0,2,0,No,0,1,0,0,0,0,0,0
336,No,15.6,8th Generation Intel Core i7-8550U,4.7,0,4,0,No,0,1,0,0,0,0,0,0
738,No,15.6,Intel Dual-Core Celeron N3350,4.14,0,2,0,No,0,0,0,0,0,0,1,0
744,No,15.6,Intel X5-E8000,4.14,0,4,0,No,0,0,0,0,0,0,1,0
745,No,15.6,AMD A4-9120C,4.14,0,2,0,No,0,0,0,0,0,0,1,0
788,No,15.6,Intel Celeron N3060,4.14,0,2,0,No,0,0,0,0,0,0,1,0
789,No,15.6,Intel Celeron N3060,4.14,0,2,0,No,0,0,0,0,0,0,1,0
