,Screen Size,Native Screen Resolution,Touchscreen Display,Convertible/Hybrid Display,Processor Type,Processor Cores,Processor Speed,Storage Drive Type,2-in-1,Processor Cache,Other Display Features,Year of Original Release,Display Type,Touchscreen,3D Capable Display,Screen Finish,Built-in Storage - Capacity GB,Built-in Storage Type,Solid-State Drive Capacity,RAM Size,RAM,Graphics Card,ENERGY STAR Qualified,Built-in Memory Card Reader,USB Ports,Integrated Wi-Fi,Webcam,Keyboard Language,Backlit Keyboard,Hard Disk Drive Capacity,Hard Drive Speed (Revolutions Per Minute),Colour,Optical Drive,Front Camera Still Resolution,Integrated Bluetooth,Approximate Battery Life,Pre-loaded Operating System,Compatible Memory Card Types,Operating System Language,Card Reader,Ethernet Port,Video Memory Configuration,Battery Type,Width,Height,Weight,Operating System,windows laptop,Type,Digital Download,CPU,Memory (RAM),Graphics,Disk Space,Internal or External,Other Input or Output Ports,Display Ports,HDCP Compliant,VR Ready,macbook,macbook_air,External Controls & Buttons,Wireless Carrier,Product Condition,Dedicated Video Memory Size,macbook_pro,Loaded Software,Wireless Display (WiDi) Capable,surface,chromebook,Battery - Number of Cells,gaming_laptop
59,14 in,1920 x 1080,No,No,Intel Core i5-8250U,4,1.6 GHz,,,,IPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
60,14 in,1920 x 1080,No,No,Intel Core i5-8250U,4,1.6 GHz,,,6 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
61,14 in,1920 x 1080,No,No,Intel Core i5-8250U,4,1.6 GHz,,,,,,,,,,,,256 GB,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
62,15.6 in,1920 x 1080,No,,Intel Core i5-8250U,4,1.6 GHz,,,,FHD; Matte,,,,,,,,256 GB,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
63,,1920 x 1080,No,No,Intel Core i5-8250U,4,1.6 GHz,,,6 MB SmartCache,IPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
64,,1920 x 1080,No,No,Intel Core i5-8250U,4,1.6 GHz,,,6MB,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
65,17.3 in,1600 x 900,No,No,Intel Core i5-8250U,4,1.6 GHz,,,6 MB SmartCache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
66,14 in,1920 x 1080,No,No,Intel Core i5-8250U,4,,,,,,,,,,,,,256 GB,8 GB,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
67,15.6 in,1920 x 1080,Yes,No,Intel Core i7-8550U,4,1.8 GHz,,,,"15.6-inch FHD (1920 x 1080) Truelife, LED-Backlit On-cell Touch Display",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
68,15.6 in,1920 x 1080,No,No,Intel Core i7-8550U,4,1.8 GHz,,,,15.6-inch diagonal FHD IPS BrightView micro-edge WLED-backlit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
69,15.6 in,1920 x 1080,No,No,Intel Core i7-8550U,4,1.8 GHz,,,8 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
70,15.6 in,1920 x 1080,Yes,No,Intel Core i7-8550U,4,1.80 GHz,,,,Truelife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
71,13.3 in,1920 x 1080,No,No,Intel Core i7-8550U,4,1.8 GHz,,,,13.3-inch diagonal FHD IPS anti-glare micro-edge WLED-backlit display with HP Sure View Integrated Privacy Screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
72,,1920 x 1080,No,No,Intel Core i7-8550U,4,1.8 GHz,,,,FHD; Glossy,,,,,,,,,,,,,,,,,,,0 GB,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
73,17.3 in,1920 x 1080,No,No,Intel Core i7-8550U,4,1.80 GHz,,,,Anti-Glare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
74,14 in,1920 x 1080,No,No,Intel Core i7-8550U,4,1.8 GHz,,,8 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.30 cm,2.70 cm,4.70 kg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
